Epochs,loss,accuracy,val_loss,val_accuracy
0,0.398594856,0.840655565,0.547009706,0.833485007
1,0.353953302,0.864102006,0.422075421,0.84804368
2,0.350536734,0.864329636,0.374282539,0.855323017
3,0.34192276,0.865923047,0.357013673,0.862602353
4,0.340971023,0.867516518,0.361416459,0.85805279
5,0.336968631,0.866833627,0.366960794,0.856232941
6,0.339217603,0.867971778,0.370393336,0.853503168
7,0.33345291,0.865695417,0.356665671,0.85805279
8,0.33465299,0.868199408,0.366837144,0.857142866
9,0.331587315,0.869109929,0.364007384,0.848953605
10,0.333466738,0.863419056,0.356605411,0.855323017
11,0.336079985,0.870703399,0.348703653,0.859872639
12,0.325971603,0.869565189,0.359556109,0.861692429
13,0.324923813,0.867744148,0.365083337,0.851683378
14,0.330689162,0.870020509,0.366513461,0.856232941
15,0.325474352,0.870020509,0.347979903,0.854413092
16,0.326815307,0.87229681,0.349424005,0.865332127
17,0.321466208,0.869792879,0.346829087,0.866242051
18,0.321212828,0.875256062,0.355135351,0.858962715
19,0.323511153,0.869109929,0.355632126,0.857142866
20,0.326492757,0.87184155,0.352516204,0.860782504
21,0.321856081,0.869109929,0.372399271,0.855323017
22,0.320975751,0.869109929,0.356996894,0.852593243
23,0.320374817,0.87161392,0.354530632,0.859872639
24,0.318734914,0.875939012,0.344409764,0.864422202
25,0.316812485,0.87343502,0.353054672,0.853503168
26,0.321750373,0.87184155,0.354784966,0.852593243
27,0.321553767,0.87229681,0.356320202,0.85805279
28,0.320000678,0.87229681,0.358937949,0.849863529
29,0.318329781,0.875711381,0.351753384,0.85805279
30,0.315573156,0.874800801,0.351470888,0.856232941
31,0.318330497,0.87184155,0.364816993,0.85805279
32,0.318438858,0.87275213,0.349870473,0.85805279
33,0.320405304,0.87275213,0.35705924,0.859872639
34,0.319435626,0.875711381,0.34587422,0.867151976
35,0.315636486,0.87229681,0.362654358,0.862602353
36,0.316247821,0.874800801,0.351939291,0.868971765
37,0.313589901,0.87138629,0.370456487,0.856232941
38,0.314686805,0.874117911,0.351425856,0.857142866
39,0.312544227,0.87320739,0.348210633,0.857142866
40,0.314550936,0.87229681,0.356873572,0.857142866
41,0.313999444,0.871158659,0.351408094,0.857142866
42,0.310626298,0.876166642,0.369910181,0.84804368
43,0.313333154,0.873890281,0.357524693,0.858962715
44,0.313185185,0.875483751,0.351009756,0.861692429
45,0.313393831,0.875256062,0.357937515,0.854413092
46,0.313827068,0.873890281,0.354163289,0.855323017
47,0.317338943,0.875028431,0.362668216,0.858962715
48,0.312398285,0.87229681,0.356912613,0.85805279
49,0.307747543,0.877760053,0.357852995,0.852593243
50,0.311056197,0.87297976,0.349351227,0.864422202
51,0.311617196,0.876394272,0.357221812,0.861692429
52,0.309484601,0.874800801,0.351113886,0.857142866
53,0.312160432,0.871158659,0.355225772,0.855323017
54,0.315068901,0.8725245,0.351620883,0.856232941
55,0.305060744,0.878898263,0.35049969,0.855323017
56,0.309222043,0.874117911,0.346689194,0.856232941
57,0.308667123,0.877304792,0.35091415,0.857142866
58,0.309479654,0.87297976,0.353184164,0.857142866
59,0.309955239,0.876166642,0.34654367,0.857142866
60,0.308847696,0.874117911,0.355449647,0.854413092
61,0.317086399,0.87275213,0.353272468,0.85805279
62,0.307436168,0.876621902,0.358908683,0.854413092
63,0.305800945,0.874573171,0.350303233,0.857142866
64,0.308736205,0.875711381,0.348077029,0.862602353
65,0.303482473,0.877304792,0.353268445,0.859872639
66,0.305699766,0.878215313,0.347866446,0.854413092
67,0.310844809,0.8725245,0.348190069,0.859872639
68,0.309150457,0.87343502,0.349311113,0.862602353
69,0.304890364,0.876849532,0.348068923,0.862602353
70,0.299830049,0.878670633,0.361484766,0.849863529
71,0.303083539,0.877077162,0.342817366,0.859872639
72,0.301806927,0.877532423,0.353900135,0.860782504
73,0.30932951,0.876849532,0.347907335,0.861692429
74,0.303059608,0.880036414,0.352248281,0.856232941
75,0.306976318,0.878443003,0.356526464,0.861692429
76,0.304260463,0.875711381,0.344370991,0.866242051
77,0.302828461,0.875711381,0.347986132,0.859872639
78,0.2992737,0.878215313,0.347041905,0.860782504
79,0.30748257,0.877532423,0.343260169,0.860782504
80,0.301078022,0.879808784,0.35172987,0.857142866
81,0.302706599,0.882312775,0.352737218,0.862602353
82,0.302629441,0.877987683,0.347650766,0.860782504
83,0.299901217,0.880491674,0.351944983,0.865332127
84,0.301951706,0.879353523,0.350566715,0.861692429
85,0.302695751,0.877077162,0.345518023,0.857142866
86,0.297431648,0.878443003,0.355565488,0.862602353
87,0.299146682,0.876394272,0.353804201,0.856232941
88,0.299416482,0.879808784,0.343955815,0.863512278
89,0.301804334,0.882312775,0.349144161,0.861692429
90,0.295991778,0.880491674,0.344026566,0.862602353
91,0.301087618,0.879581153,0.351755172,0.858962715
92,0.296322733,0.875711381,0.349384844,0.860782504
93,0.30242902,0.87320739,0.349226624,0.85805279
94,0.301436394,0.876849532,0.352658898,0.861692429
95,0.300389767,0.876621902,0.353595316,0.861692429
96,0.300846636,0.877532423,0.353532821,0.858962715
97,0.299951971,0.880491674,0.351659417,0.85805279
98,0.298021823,0.878215313,0.349874049,0.864422202
99,0.30060035,0.879353523,0.350810885,0.85805279
