Epochs,loss,accuracy,val_loss,val_accuracy,lr
0,1.236719251,0.775552034,1.152034283,0.731574178,0.001
1,1.065440416,0.831322551,1.061703324,0.777070045,0.001
2,1.035552502,0.840427935,1.010909677,0.832575083,0.001
3,0.976421535,0.849988639,0.953441799,0.861692429,0.001
4,0.93025583,0.855907142,0.904167891,0.860782504,0.001
5,0.887958407,0.862508535,0.871702373,0.858962715,0.001
6,0.838797212,0.860459805,0.833573341,0.860782504,0.001
7,0.790087759,0.862508535,0.791778624,0.858962715,0.001
8,0.762028098,0.865695417,0.757467508,0.863512278,0.001
9,0.733249724,0.864784896,0.721308529,0.861692429,0.001
10,0.699388981,0.859094024,0.689051509,0.859872639,0.001
11,0.658341885,0.865695417,0.653282464,0.858962715,0.001
12,0.62964052,0.865923047,0.627014577,0.864422202,0.001
13,0.600967586,0.865923047,0.602647543,0.862602353,0.001
14,0.57857573,0.861370385,0.580958903,0.863512278,0.001
15,0.547224581,0.866378307,0.54797107,0.864422202,0.001
16,0.529714823,0.862963796,0.53267169,0.860782504,0.001
17,0.510990322,0.867288888,0.528572023,0.860782504,0.001
18,0.499037713,0.866605937,0.497114748,0.861692429,0.001
19,0.477945983,0.864102006,0.479675114,0.860782504,0.001
20,0.459359437,0.868427038,0.473396212,0.862602353,0.001
21,0.449112952,0.865012527,0.461417347,0.865332127,0.001
22,0.445991158,0.867288888,0.448219508,0.861692429,0.001
23,0.432350069,0.864557266,0.445325971,0.860782504,0.001
24,0.426551163,0.865467787,0.436559588,0.864422202,0.001
25,0.415067673,0.867744148,0.432802081,0.860782504,0.001
26,0.415487766,0.862963796,0.421145052,0.865332127,0.001
27,0.409644514,0.863646686,0.419662625,0.860782504,0.001
28,0.404817343,0.865240157,0.417194903,0.865332127,0.001
29,0.398841262,0.868882298,0.411965251,0.867151976,0.001
30,0.397062868,0.866378307,0.427793175,0.859872639,0.001
31,0.399469405,0.866150677,0.40726459,0.860782504,0.001
32,0.395698935,0.868199408,0.406497717,0.866242051,0.001
33,0.389971524,0.868427038,0.405866593,0.859872639,0.001
34,0.396621406,0.861598015,0.405852348,0.861692429,0.001
35,0.388851672,0.868882298,0.413834542,0.861692429,0.001
36,0.391747147,0.867288888,0.403563559,0.862602353,0.001
37,0.389401585,0.866605937,0.398615718,0.85805279,0.001
38,0.385363489,0.867061257,0.402326882,0.867151976,0.001
39,0.382986516,0.869337559,0.396883696,0.85805279,0.001
40,0.383724093,0.864329636,0.404763639,0.856232941,0.001
41,0.389716655,0.863874316,0.399258405,0.867151976,0.001
42,0.387555033,0.863646686,0.400900066,0.853503168,0.001
43,0.394892722,0.861825645,0.398214251,0.856232941,0.001
44,0.385004133,0.865695417,0.402044445,0.862602353,0.001
45,0.382065445,0.865467787,0.391899556,0.861692429,0.0005
46,0.370622873,0.870248139,0.387578726,0.862602353,0.0005
47,0.371253729,0.865695417,0.381351084,0.864422202,0.0005
48,0.370030016,0.867061257,0.386271328,0.863512278,0.0005
49,0.368704081,0.866150677,0.386153787,0.862602353,0.0005
50,0.367141396,0.865467787,0.385799587,0.865332127,0.0005
51,0.361110687,0.869337559,0.381549776,0.861692429,0.0005
52,0.368619442,0.866378307,0.382628709,0.8680619,0.0005
53,0.361132443,0.870020509,0.377186656,0.862602353,0.00025
54,0.358229458,0.869337559,0.376184702,0.862602353,0.00025
55,0.352240831,0.869792879,0.373033643,0.865332127,0.00025
56,0.348405719,0.869792879,0.376560211,0.862602353,0.00025
57,0.352867603,0.87138629,0.36940825,0.863512278,0.00025
58,0.341764152,0.876166642,0.370566845,0.866242051,0.00025
59,0.353284955,0.865695417,0.370348871,0.867151976,0.00025
60,0.346455097,0.870475769,0.368375301,0.864422202,0.00025
