Epochs,loss,accuracy,val_loss,val_accuracy
0,0.404060215,0.860232174,0.378529817,0.862602353
1,0.350728452,0.867288888,0.373135924,0.861692429
2,0.343590558,0.867971778,0.377869904,0.852593243
3,0.341561973,0.863646686,0.370089322,0.851683378
4,0.334722757,0.868199408,0.364460707,0.854413092
5,0.332073033,0.870020509,0.362494022,0.856232941
6,0.331356168,0.867516518,0.36018008,0.85805279
7,0.328762412,0.867516518,0.35261488,0.852593243
8,0.326955974,0.870931029,0.364645988,0.859872639
9,0.329070121,0.869565189,0.357030541,0.856232941
10,0.324392915,0.870475769,0.363015026,0.853503168
11,0.325589329,0.868654668,0.361858547,0.857142866
12,0.324579626,0.869792879,0.360621959,0.857142866
13,0.319856584,0.870475769,0.350753725,0.854413092
14,0.320929587,0.870703399,0.360644877,0.865332127
15,0.319102526,0.87184155,0.348416537,0.853503168
16,0.316471696,0.871158659,0.351333141,0.85805279
17,0.315981805,0.87206918,0.34605062,0.856232941
18,0.314757586,0.87229681,0.344049722,0.854413092
19,0.312972873,0.87138629,0.345957071,0.859872639
20,0.313103408,0.87206918,0.340245306,0.85805279
21,0.31121248,0.87161392,0.356309682,0.861692429
22,0.310599476,0.87275213,0.356546938,0.856232941
23,0.308990568,0.874573171,0.357460558,0.859872639
24,0.308623612,0.874800801,0.352939099,0.856232941
25,0.307171255,0.874573171,0.343225569,0.855323017
26,0.304996789,0.875256062,0.362504661,0.85805279
27,0.308150679,0.873890281,0.364545763,0.861692429
28,0.307161152,0.870475769,0.348582447,0.857142866
29,0.304375678,0.877077162,0.343458235,0.858962715
30,0.304300338,0.875256062,0.354741693,0.858962715
31,0.304372698,0.876849532,0.352681965,0.858962715
32,0.300686836,0.877760053,0.353764027,0.853503168
33,0.298822522,0.877987683,0.352747351,0.855323017
34,0.301196009,0.877077162,0.34784919,0.857142866
35,0.299779952,0.877304792,0.342660755,0.856232941
36,0.300889134,0.877532423,0.339921743,0.859872639
37,0.300015062,0.879808784,0.355865151,0.853503168
38,0.299508393,0.877077162,0.359849751,0.859872639
39,0.301013201,0.877760053,0.343267173,0.860782504
40,0.296899587,0.877760053,0.342261583,0.854413092
41,0.294463694,0.880036414,0.35149008,0.858962715
42,0.293925762,0.877532423,0.36195159,0.85805279
43,0.295347095,0.879581153,0.347940743,0.85805279
44,0.29362604,0.881857514,0.350555092,0.863512278
45,0.294400245,0.879581153,0.350543708,0.861692429
46,0.292648733,0.880946934,0.365445852,0.857142866
47,0.293648362,0.880036414,0.364156544,0.852593243
48,0.292523772,0.878670633,0.361913502,0.850773454
49,0.291397244,0.877532423,0.355260223,0.855323017
50,0.287311286,0.880719304,0.344082326,0.856232941
51,0.287141383,0.881629884,0.363507867,0.856232941
52,0.285609633,0.880491674,0.367254108,0.859872639
53,0.289261758,0.882085145,0.349136084,0.864422202
54,0.288297921,0.877987683,0.38331154,0.85805279
55,0.287615299,0.881174624,0.354529262,0.858962715
56,0.284843624,0.883906186,0.356500834,0.857142866
57,0.284004003,0.886637807,0.364897013,0.85805279
58,0.283800095,0.881629884,0.355813503,0.851683378
59,0.281346709,0.888003647,0.365275502,0.854413092
60,0.283464372,0.885954916,0.38320896,0.852593243
61,0.283189744,0.882540405,0.359345585,0.850773454
62,0.280506462,0.886182547,0.377718449,0.853503168
63,0.278257132,0.885727286,0.36021769,0.857142866
64,0.27965951,0.889369428,0.365007371,0.852593243
65,0.279096812,0.885727286,0.361011624,0.860782504
66,0.276334196,0.888458908,0.369725913,0.863512278
67,0.277278513,0.885954916,0.365278631,0.852593243
68,0.276399434,0.885272026,0.375621229,0.854413092
69,0.278116256,0.885727286,0.377830297,0.858962715
70,0.277094513,0.888458908,0.364107877,0.849863529
71,0.273738861,0.887776017,0.371427357,0.855323017
72,0.272103012,0.889824748,0.383752435,0.849863529
73,0.273753136,0.888914168,0.368087083,0.854413092
74,0.27543816,0.885954916,0.380698144,0.855323017
75,0.273841262,0.887093127,0.386962116,0.85805279
76,0.272460938,0.890962899,0.374609977,0.853503168
77,0.270968884,0.890735269,0.384126335,0.852593243
78,0.272246718,0.888003647,0.368528187,0.85805279
79,0.266710997,0.892783999,0.387191147,0.852593243
80,0.269930422,0.887093127,0.389711767,0.853503168
81,0.267206132,0.892556369,0.40864265,0.853503168
82,0.265487224,0.89369452,0.396956623,0.856232941
83,0.265219957,0.890735269,0.403013468,0.853503168
84,0.265861303,0.89369452,0.385876983,0.854413092
85,0.263320923,0.891418159,0.386985183,0.851683378
86,0.264086515,0.890507638,0.388699859,0.853503168
87,0.261999398,0.892783999,0.395700634,0.850773454
88,0.262427777,0.894832671,0.391233653,0.85805279
89,0.262732089,0.890280008,0.384156197,0.859872639
90,0.25978741,0.896198511,0.389885843,0.855323017
91,0.256244123,0.89346689,0.40030393,0.854413092
92,0.262204885,0.894832671,0.394726574,0.853503168
93,0.263412595,0.892783999,0.404198378,0.853503168
94,0.257290572,0.896198511,0.395128131,0.855323017
95,0.258051783,0.89346689,0.404148072,0.857142866
96,0.258900046,0.895970881,0.400963575,0.854413092
97,0.25734973,0.895515621,0.410412163,0.854413092
98,0.255122304,0.895515621,0.416948617,0.850773454
99,0.255368829,0.89369452,0.401386768,0.850773454
